id_fors,ra,dec,orig_par_obj,v1.0_par_obj,z_fors,z_fors_err,z_wisp,z_wisp_err,v1.0_redshift,v1.0_redshift_err,flag
64_2_12,219.359406,-1.823243,64_61,64_62,0.948289,0.0001212,0.94499,0.00405,0.94925,0.0060207972893961,0.0
64_2_13,219.371643,-1.823598,64_77,64_70,-99.0,-99.0,1.5227,0.0021,1.5236,0.0022,2.0
64_2_14,219.382263,-1.822951,64_2021,-99,-99.0,-99.0,1.12165,0.00283,-99.0,-99.0,2.0
64_2_15,219.375214,-1.819262,64_19,64_16,0.896652,0.0001792,0.89592,0.00077,0.9054,0.0031112698372208,0.0
64_2_16,219.373138,-1.816697,64_261,64_286,-99.0,-99.0,1.93758,0.00287,1.94805,0.0026172504656604,1.0
64_2_18,219.377258,-1.81113,64_148,-99,-99.0,-99.0,0.48809,0.00074,-99.0,-99.0,1.0
-99,219.3685,-1.838421,64_22,64_22,-99.0,-99.0,0.67574,0.00149,0.679,0.0011,2.0
-99,219.363022,-1.836985,64_38,-99,-99.0,-99.0,0.98502,0.00258,-99.0,-99.0,1.0
-99,219.382339,-1.818475,64_41,64_39,-99.0,-99.0,0.55061,0.00048,0.5479,0.0015556349186104,0.0
-99,219.384506,-1.820146,64_44,-99,-99.0,-99.0,0.90551,0.00202,-99.0,-99.0,2.0
-99,219.369156,-1.837445,64_54,64_55,-99.0,-99.0,0.67651,0.00036,0.66955,0.0004242640687119,0.0
-99,219.356033,-1.828443,64_62,-99,-99.0,-99.0,1.28529,0.00305,-99.0,-99.0,0.0
-99,219.369766,-1.837868,64_70,64_73,-99.0,-99.0,1.43695,0.00558,2.2076,0.0019,0.0
-99,219.363037,-1.845098,64_78,-99,-99.0,-99.0,1.19865,0.0027,-99.0,-99.0,1.0
-99,219.357758,-1.833909,64_91,-99,-99.0,-99.0,1.42011,0.00224,-99.0,-99.0,1.0
-99,219.352936,-1.82923,64_114,-99,-99.0,-99.0,0.96551,0.00111,-99.0,-99.0,2.0
-99,219.364853,-1.819793,64_143,-99,-99.0,-99.0,1.14518,0.00177,-99.0,-99.0,2.0
-99,219.36264,-1.831176,64_168,-99,-99.0,-99.0,0.63112,0.00088,-99.0,-99.0,2.0
-99,219.367111,-1.838589,64_179,-99,-99.0,-99.0,0.6774,0.00074,-99.0,-99.0,2.0
-99,219.355133,-1.831499,64_195,-99,-99.0,-99.0,1.13879,0.00218,-99.0,-99.0,2.0
-99,219.372055,-1.839963,64_203,64_260,-99.0,-99.0,1.43812,0.00112,1.4464,0.0022627416997969,0.0
-99,219.362686,-1.827755,64_213,64_227,-99.0,-99.0,1.32293,0.0022,1.3267,0.0033241540277189,0.0
-99,219.361313,-1.834042,64_239,-99,-99.0,-99.0,0.93636,0.00211,-99.0,-99.0,2.0
-99,219.375595,-1.846837,64_1029,-99,-99.0,-99.0,1.05966,0.00075,-99.0,-99.0,1.0
-99,219.380447,-1.83824,64_2051,-99,-99.0,-99.0,1.24619,0.00154,-99.0,-99.0,2.0
-99,219.375824,-1.847603,64_2056,64_213,-99.0,-99.0,1.61108,0.00166,1.6158,0.0010630145812734,1.0
62_1_3,195.315781,-0.025592,62_22,-99,-99.0,-99.0,1.07779,0.00313,-99.0,-99.0,2.0
62_1_4,195.322037,-0.023667,62_2029,-99,-99.0,-99.0,1.43262,0.00256,-99.0,-99.0,2.0
62_1_5,195.327118,-0.019925,62_21,-99,0.855001,0.0001215,0.86548,0.00272,-99.0,-99.0,2.0
62_1_6,195.318176,-0.018129,62_47,-99,0.560576,0.0001011,0.55914,0.00043,-99.0,-99.0,0.0
62_1_7,195.325012,-0.013956,62_278,-99,-99.0,-99.0,0.82657,0.00031,-99.0,-99.0,2.0
62_1_8,195.33786,-0.01157,62_217,-99,-99.0,-99.0,0.35917,0.00221,-99.0,-99.0,2.0
62_1_9,195.317215,-0.009804,62_38,-99,0.850916,0.0001326,0.85906,0.00611,-99.0,-99.0,2.0
62_1_11,195.304214,-0.004513,62_63,-99,0.507047,0.0001332,0.50556,0.00057,-99.0,-99.0,2.0
62_1_13,195.310562,0.001285,62_81,-99,1.13373,0.0001414,0.61907,0.00116,-99.0,-99.0,2.0
62_1_14,195.319443,0.004619,62_69,-99,1.80855,5e-06,0.59305,0.00158,-99.0,-99.0,0.0
62_1_15,195.328979,0.006401,62_257,-99,-99.0,-99.0,0.7144,0.00043,-99.0,-99.0,2.0
62_1_16,195.317627,0.008109,62_10,-99,0.453964,0.0001658,0.45842,0.00088,-99.0,-99.0,2.0
62_1_17,195.322113,0.010007,62_2035,-99,-99.0,-99.0,1.21774,0.00194,-99.0,-99.0,2.0
-99,195.320801,-0.004769,62_11,-99,-99.0,-99.0,0.38614,0.0017,-99.0,-99.0,2.0
-99,195.324997,-0.003573,62_12,-99,-99.0,-99.0,0.32408,0.00138,-99.0,-99.0,0.0
-99,195.34053,-0.011674,62_14,-99,-99.0,-99.0,0.38302,0.00229,-99.0,-99.0,2.0
-99,195.314911,-0.009486,62_20,-99,-99.0,-99.0,0.86991,0.00215,-99.0,-99.0,1.0
-99,195.325134,-0.01977,62_49,-99,-99.0,-99.0,0.50323,0.00066,-99.0,-99.0,2.0
-99,195.330933,0.005574,62_99,-99,-99.0,-99.0,1.70528,0.00235,-99.0,-99.0,0.0
-99,195.320755,0.008122,62_117,-99,-99.0,-99.0,1.32148,0.00266,-99.0,-99.0,2.0
-99,195.316071,-0.018188,62_129,-99,-99.0,-99.0,1.306,0.00145,-99.0,-99.0,2.0
-99,195.331406,-0.002621,62_182,-99,-99.0,-99.0,1.09134,0.0018,-99.0,-99.0,1.0
-99,195.320312,0.009053,62_204,-99,-99.0,-99.0,0.57124,0.00086,-99.0,-99.0,2.0
-99,195.328217,0.010789,62_236,-99,-99.0,-99.0,0.6823,0.00132,-99.0,-99.0,2.0
